"System Throughput(Wavelength), created by Plot Digitizer, 2.6.8",
"Date: 7/3/18, 4:12:32 PM",
,
,
,
Wavelength,System Throughput
3037.78,0.00642857
3047.86,0.0120918
3057.93,0.0212755
3068.01,0.0330612
3078.09,0.0518878
3088.16,0.0783673
3098.24,0.104847
3108.31,0.127347
3118.39,0.1425
3129.9,0.149694
3138.54,0.155357
3158.69,0.158878
3198.99,0.172347
3219.14,0.173571
3240.73,0.172806
3259.45,0.175561
3281.04,0.175561
3309.82,0.174643
3341.49,0.177704
3361.64,0.177857
3390.43,0.173418
3412.02,0.1725
3440.81,0.1725
3462.4,0.169133
3512.77,0.158571
3541.56,0.149847
3571.79,0.139592
3591.94,0.128112
3602.02,0.122908
3622.17,0.11648
3632.24,0.109133
3642.32,0.0906122
3653.83,0.0638265
3662.47,0.0375
3672.54,0.0180612
3682.62,0.00734694
